Table,en-UK,ru-RU,zh-CN
ProjectDiagnostics_LP_MSBuildPath_Details,MSBuild failed to be invoked. Please make sure you have a proper path to MSBuild 15 or higher binary configured in Luna UI.\nMSBuild can also be installed through the visual studio installer or here\nhttps://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=BuildTools&rel=16\nCurrent path in use: '{0}',"Не удалось вызвать MSBuild. Пожалуйста, убедитесь, что Вы указали верный путь к MSBuild в окне плагина.\nMSBuild может быть обновлен через Visual Studio установщик или по этой ссылке\nhttps://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=BuildTools&rel=16\nТекущий путь: '{0}'",MSBuild 调用失败。请确保在 Luna UI 中正确配置了 MSBuild 15 或更高版本的路径。\nMSBuild 可以从 Visual Studio Installer 更新或从这里下载\nhttps://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=BuildTools&rel=16\n现在使用的路径: '{0}'
ProjectDiagnsotics_LP_DotNetVersion_Description,Invalid .Net version,Невалидная версия .Net,无效的 .Net 版本
ProjectDiagnostics_LP_DotNetVersion_Details,.Net 4.7 or higher is required. Please make sure .Net 4.7 is installed\nhttps://docs.lunalabs.io/docs/playable/setup/dependencies/#install-net-47,"Необходима .Net 4.7 или выше. Пожалуйста, убедитесь, что .Net 4.7 установлена\nhttps://docs.lunalabs.io/docs/playable/setup/dependencies/#install-net-47",需要 .Net 4.7 或更高版本。请确保已安装 .Net 4.7\nhttps://docs.lunalabs.io/docs/playable/setup/dependencies/#install-net-47
,,,
Advanced_Tools_Msbuild_Warning,"The MSBuild path is either invalid, or the msbuild version is incompatible, Please make sure you have a proper path to MSBuild 15 or above configured in Luna UI. Click here to install MSBuild 15","Путь к MSBuild невалиден или выбранная версия несовместима. Пожалуйста, убедитесь, что Вы указали верный путь к MSBuild версии 15 или выше в окне плагина. Нажмите сюда, чтобы установить MSBuild 15 версии.",MSBuild 路径无效或版本不兼容，请确保在 Luna UI 中正确配置了 MSBuild 15 或以上版本的路径。点击这里安装 MSBuild 15
,,,
PlaygroundSection_Applications,Available Applications,Доступные Applications,可选应用
PlaygroundSection_CreativeName,Creative Name,Имя Креатива,创意名称
PlaygroundSection_EmptyNameWarning,Please fill in the Creative name,"Пожалуйста, заполните имя Креатива",请输入创意名称
Popup_RuntimeAnalysisReady_Title,Runtime Analysis,Анализ кода,运行时分析
Popup_RuntimeAnalysisReady_Description,You will now need to play the game through in the browser so the Runtime Analysis tool can find scripts and classes that aren’t used. Play the game and refresh as many times as needed until you feel that you’ve touched all potential parts of the gameplay,"Вам необходимо пройти игру в браузере чтобы Анализ кода мог найти скрипты и классы, которые не используются. Играйте в игру и обновляйте столько раз, сколько необходимо, пока Вы не будете уверены, что затронули все части геймплея",为了让运行时分析工具找出未使用的脚本和类，现在需要您在浏览器中进行游戏。您可以尽可能多次的进行游戏流程直到您觉得所有可能使用的代码都已被检测到。
SizeBreakdownSection_OptimizeScripts,Optimise scripts,Оптимизировать скрипты,优化脚本
SizeBreakdownSection_RuntimeAnalysisSavedSize,{0} was saved by using Runtime Analysis,{0} был сохранен благодаря Анализу кода,使用运行时分析节省了 {0}
SizeBreakdownSection_RuntimeAnalysisNotRun,"We recommend running Runtime Analysis to find and remove all unused code. Navigate to the Code > Runtime Analysis tab or hit ""Optimise Scripts"" and press ""Start Analysis""","Рекомендуем запустить Анализ кода чтобы найти и исключить весь неиспользуемый код. Перейдите в секцию Код > вкладка Анализ кода или нажмите ""Оптимизировать скрипты"", затем нажмите ""Начать анализ""","我们建议使用运行时分析来找出并排除未使用的代码。选择 代码 > 运行时分析 并点击 ""开始分析"""
ProjectDiagnostics_LP_ShouldTryRuntimeAnalysis_Description,We recommend running Runtime Analysis to find and remove all unused code,Рекомендуем запустить Анализ кода чтобы найти и исключить весь неиспользуемый код,我们建议使用运行时分析工具来找出并移除未使用的代码
ProjectDiagnostics_LP_ShouldTryRuntimeAnalysis_Details,"Navigate to the Code > Runtime Analysis tab and hit ""Start Analysis""","Перейдите в секцию Код > вкладка Анализ кода и нажмите ""Начать анализ""","选择 代码 > 运行时分析 并点击 ""开始分析"""
RuntimeAnalysisTab_Title,Runtime Analysis,Анализ кода,运行时分析
RuntimeAnalysisTab_Start,Start Analysis,Начать анализ,开始分析
RuntimeAnalysisTab_Reset,Reset,Сбросить,重置
Popup_RuntimeAnalysisReady_Ok,Okay,Окей,好的
Popup_RuntimeAnalysisReady_Cancel,Cancel,Отмена,取消
RuntimeAnalysisTab_Description,Click 'Start Analysis' to analyse the game during runtime to find and exclude all unused code and redundant shader variants.\nYou must play the entire game to make sure that needed code will not be excluded,"Нажмите 'Начать анализ' чтобы проанализировать билд в браузере для нахождения и исключения всего\nнеиспользуемого кода и лишних шейдер вариантов. Вы должны пройти всю игру чтобы быть уверенными, что необходимый\nкод не будет исключен",点击 '开始分析' 来找出并排除游戏运行时没有用到的代码 \n您必须通过完整进行游戏流程来确保所有需要的代码不会被排除
RuntimeAnalysisTab_ExcludedCode,Excluded Code,Исключённый код,被排除的代码
RuntimeAnalysisTab_ExcludedModules,Excluded Modules,Исключённые модули,被排除的模块
RuntimeAnalysisTab_ModulePrefix_physics3d,Physics 3D,Physics 3D,Physics 3D
RuntimeAnalysisTab_ModulePrefix_physics2d,Physics 2D,Physics 2D,Physics 2D
RuntimeAnalysisTab_ModulePrefix_particle-system,Particle System,Particle System,Particle System
,,,
PlaygroundSection_OpenPlayground,Open Playground,Открыть Playground,打开 Playground
PlaygroundSection_RefreshToolTip,Refresh available Applications,Обновить доступные Applications,刷新现有应用
EditorTab_AdNetworkSettings_FbDisableCompression,Disable Compression,Отключить сжатие,禁用压缩
Advanced_ForceBase64,Use Base64 encoding,Сжатие Base64,使用 Base64 编码
SizeBreakdownSection_Base64,"You can reduce size of you playable by up to ~15% by unchecking ""Use Base64 encoding"" in Settings > Advanced tab","Вы можете уменьшить размер билда на ~15%, выключив ""Сжатие Base64"" в Настройки > вкладка Дополнительные",您可以在 设置 > 高级 中取消 “使用 Base64 编码” 来减少 Playable 最多约15%的大小
,,,
ProjectDiagnostics_LP_TextMeshProVersion_Description,This TMP version is not fully supported,Эта версия TMP не поддерживается полностью,此 TMP 版本未被完全支持
ProjectDiagnostics_LP_TextMeshProVersion_Details,"The incorrect Text Mesh Pro for this unity version is in use, please update to the recommended version: {0}","Используется некорректная версия Text Mesh Pro, пожалуйста, обновите ее до рекомендуемой версии: {0}",此 Unity 使用了错误的 Text Mesh Pro 版本，请更新至推荐版本: {0}
Advanced_Preloader_Background_Color,Background Color,Цвет фона,背景颜色
Universal_Reset,Reset,Сбросить,重置
,,,
Advanced_Tools_MSBuildWarning_Path,"<color=white>The MSBuild path is invalid, please specify a valid path to MSBuild version 15 or above.</color>\nClick here to view documentation on how to update or install a new version of MSBuild","<color=white>Путь к MSBuild невалиден, пожалуйста, укажите верный путь к MSBuild версии 15 или выше.</color>\nНажмите сюда, чтобы увидеть документацию или как обновить или установить новую версию MSBuild",<color=white>MSBuild 路径无效，请指定 MSBuild 15 或更高版本的有效路径。</color>\n点击此处查看有关如何更新或安装新版本 MSBuild 的文档
Advanced_Tools_MSBuildWarning_Version,<color=white>The Version of MSBuild you are trying to use does not meet version requirements.</color>\nClick here to view documentation on how to install a new version of MSBuild,"<color=white>Версия MSBuild, которую вы используете, не отвечает требованиям.</color>\nНажмите сюда, чтобы увидеть документацию или как обновить или установить новую версию MSBuild",<color=white>您正在尝试使用的 MSBuild 不符合版本要求。</color>\n点击此处查看关于如何安装新版本 MSBuild 的文档
Advanced_Tools_MSBuildWarning_DotNet,<color=white>The version of MSBuild you are trying to use does not have a required dependency.</color>\nClick here to view how to add the '.Net Desktop Development' workload to your visual studio installation,"<color=white>Версия MSBuild, которую вы используете, не имеет необходимой зависимости.</color>\nНажмите сюда, чтобы узнать как добавить .Net Desktop Development в установщик visual studio",<color=white>您正在尝试使用的 MSBuild 缺少必要的依赖项。</color>\n点击此处查看如何添加 ‘.Net 桌面开发’ 工作负载到您的 Visual Studio 中
MSBuild_WarningBanner,"MSBuild is misconfigured, this prevents playables from being built. Click here to view the Advanced settings tab","MSBuild неправильно настроен, это препятствует сборке билда. Нажмите сюда чтобы перейти в раздел «Дополнительные настройки»",MSBuild 配置不正确，这会阻止构建 Playable。点击此处查看高级设置选项
,,,
SVC_Tab_Label,Shaders,Шейдеры,着色器
SVC_Tab_LunaSVC_AssetNotFound,"""Luna.shadervariants"" asset not found!","""Luna.shadervariants"" ассет не найден!","未找到 ""Luna.shadervariants"" 文件"
SVC_Tab_LunaSVC_Create,Create new Shader Variant Collection,Создать новую коллекцию вариантов,创建新的着色器变体集合
,,,
SVC_Element_AddShaderAndVariants,Add Shader and Variants:,Добавить шейдер и варианты:,添加着色器和变体
SVC_Element_Add,Add,Добавить,添加
SVC_Element_ShowHidden,Show hidden,Показать исключенные,显示隐藏
SVC_Element_ErrorMsgTemplate,Filename: {0} Pass: {1} - does not support two or more keywords from the same shader_feature!,"Файл: {0} Пасс: {1} - Вариант не поддерживается! Возможно, вы используете два кейворда из одной shader_feature!",文件名: {0} 通道: {1} - 不支持来自同一个 shader_feature 的两个或多个关键字!
SVC_Element_WarningMsgTemplate,Filename: {0} Pass: {1} - selected keyword set exist!,Файл: {0} Пасс: {1} - данный вариант уже существует!,文件名: {0} 通道: {1} - 所选关键字集存在!
,,,
SVC_Inspector_ShaderVariants,Shader variants used on scenes,"Шейдер варианты, используемые на сцене",场景中使用的着色器变体
SVC_Inspector_IncludedVariants,Shader variants included by User,"Шейдер варианты, добавленные пользователем",用户包含的着色器变体
SVC_Inspector_ExcludedVariants,Shader variants excluded by User,"Шейдер варианты, исключенные пользователем",用户排除的着色器变体
SVC_Inspector_Window_Btn,Edit,Изменить,编辑
SVC_Inspector_UsedByLuna,Shader variants ( Runtime Analysis ),Шейдер варианты ( Runtime Analysis ),着色器变体 ( Runtime Analysis )
RuntimeAnalysisTab_Pause,Pause Runtime Analysis,Приостановить анализ кода,暂停运行时分析
,,,
ProjectDiagnostics_AssetsExportOnly,Build Project (Assets only),Собрать проект (только ассеты),构建项目 (仅资源)
ProjectDiagnostics_CodeExportOnly,Build Project (Code only),Собрать проект(только код),构建项目 (仅代码)
ProjectDiagnostics_OptimiseExportWithCaching,Optimize export with Caching,Кэшировать экспорт,使用缓存优化导出
